SYMBOL,INTERVAL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
HDFC.NS,D,2006-09-27,284.950004,291.600004,283.400004,289.530004,2662009.9603330004
HDFC.NS,D,2006-09-28,291.190004,304.800005,289.600004,299.680004,5302614.920985
HDFC.NS,D,2006-09-29,296.400004,308.000005,294.820004,306.630005,2132654.968221
HDFC.NS,D,2006-10-03,306.40000499999996,306.60000499999995,295.000004,296.060004,3978709.9407129996
HDFC.NS,D,2006-10-04,284.710004,297.600004,283.600004,286.980004,2892644.956896
HDFC.NS,D,2006-10-05,290.000004,293.350004,287.220004,289.620004,2343484.965079
HDFC.NS,D,2006-10-06,289.620004,290.980004,284.800004,286.460004,979364.9854059999
HDFC.NS,D,2006-10-09,283.000004,284.000004,277.000004,278.640004,3031604.9548259997
HDFC.NS,D,2006-10-10,281.000004,285.940004,281.000004,283.960004,1699969.9746680001
HDFC.NS,D,2006-10-11,289.560004,289.600004,285.240004,287.960004,1897659.971723
HDFC.NS,D,2006-10-12,291.000004,302.000005,290.240004,300.230004,4548199.932227
HDFC.NS,D,2006-10-13,302.000005,307.180005,300.250004,305.40000499999996,1750719.973912
HDFC.NS,D,2006-10-16,300.000004,310.000005,300.000004,309.430005,2190604.967357
HDFC.NS,D,2006-10-17,312.200005,312.200005,299.600004,302.380005,2544474.962084
HDFC.NS,D,2006-10-18,300.000004,303.000005,291.050004,295.980004,2005739.970112
HDFC.NS,D,2006-10-19,296.000004,299.800004,289.000004,291.27000400000003,2748574.959043
HDFC.NS,D,2006-10-20,292.000004,295.600004,289.150004,290.150004,745429.988892
HDFC.NS,D,2006-10-21,296.000004,296.000004,288.200004,289.370004,74589.998889
HDFC.NS,D,2006-10-23,289.990004,290.000004,285.000004,286.140004,1371529.979563
HDFC.NS,D,2006-10-26,289.540004,292.000004,286.800004,289.810004,2576864.961602
HDFC.NS,D,2006-10-27,288.200004,347.480005,287.600004,295.730004,1696314.9747229998
HDFC.NS,D,2006-10-30,295.000004,300.000004,288.600004,290.630004,982779.9853549999
HDFC.NS,D,2006-10-31,291.000004,298.800004,290.610004,292.780004,2678259.960091
HDFC.NS,D,2006-11-01,294.000004,295.600004,284.060004,285.150004,1751859.973895
HDFC.NS,D,2006-11-02,280.450004,290.220004,276.000004,288.900004,1031859.984624
HDFC.NS,D,2006-11-03,288.000004,296.83000400000003,284.200004,295.800004,1648569.975434
HDFC.NS,D,2006-11-06,290.000004,307.40000499999996,290.000004,305.230005,1480084.9779450002
HDFC.NS,D,2006-11-07,302.200005,314.60000499999995,302.200005,312.260005,2843264.957632
HDFC.NS,D,2006-11-08,310.200005,310.200005,303.040005,304.310005,1556744.976803
